
a2ps.rb                         :_: "Any-to-PostScript filter"
apparix.rb                      :_: "File system navigation via bookmarking directories"

appledoc.rb                     :_: "Objective-C API documentation generator"

appscale-tools.rb               :_: "Command-line tools for working with AppScale"

apr-util.rb                     :_: "Companion library to apr, the Apache Portable Runtime library"

apr.rb                          :_: "Apache Portable Runtime library"

apt-dater.rb                    :_: "Manage package updates on remote hosts using SSH"

aptly.rb                        :_: "Swiss army knife for Debian repository management"

aqbanking.rb                    :_: "Generic online banking interface"

arabica.rb                      :_: "XML toolkit written in C++"

arangodb.rb                     :_: "The Multi-Model NoSQL Database."

archey.rb                       :_: "Graphical system information display for macOS"

archi-steam-farm.rb             :_: "ASF is a C# application that allows you to farm steam cards"

archivemail.rb                  :_: "Tool for archiving and compressing old email in mailboxes"

argon2.rb                       :_: "Password hashing library and CLI utility"

argp-standalone.rb              :_: "Standalone version of arguments parsing functions from GLIBC"

argtable.rb                     :_: "ANSI C library for parsing GNU-style command-line options"

argus-clients.rb                :_: "Audit Record Generation and Utilization System clients"

argus.rb                        :_: "Audit Record Generation and Utilization System server"

argyll-cms.rb                   :_: "ICC compatible color management system"

aria2.rb                        :_: "Download with resuming and segmented downloading"

arm.rb                          :_: "Terminal status monitor for Tor"

armor.rb                        :_: "Uncomplicated HTTP server, supports HTTP/2 and auto TLS"

arp-scan.rb                     :_: "ARP scanning and fingerprinting tool"

arp-sk.rb                       :_: "ARP traffic generation tool"

arping.rb                       :_: "Utility to check whether MAC addresses are already taken on a LAN"

arpoison.rb                     :_: "UNIX arp cache update utility"

arss.rb                         :_: "Analyze a sound file into a spectrogram"

artifactory-cli-go.rb           :_: "Provides a command-line interface for Artifactory."

artifactory.rb                  :_: "Manages binaries"

arx.rb                          :_: "Bundles files and programs for easy transfer and repeatable execution"

ascii.rb                        :_: "List ASCII idiomatic names and octal/decimal code-point forms"

asciidoc.rb                     :_: "Formatter/translator for text files to numerous formats. Includes a2x."

asciinema.rb                    :_: "Record and share terminal sessions"

asciinema2gif.rb                :_: "Generate animated GIFs from asciinema terminal recordings"

asciiquarium.rb                 :_: "Aquarium animation in ASCII art"

asciitex.rb                     :_: "Generate ASCII-art representations of mathematical equations"

asio.rb                         :_: "Cross-platform C++ Library for asynchronous programming"

asn1c.rb                        :_: "Compile ASN.1 specifications into C source code"

aspcud.rb                       :_: "Package dependency solver"

aspectj.rb                      :_: "AspectJ: aspect-oriented programming for Java"

aspell.rb                       :_: "Spell checker with better logic than ispell"

assh.rb                         :_: "Advanced SSH config - Regex, aliases, gateways, includes and dynamic hosts"

assimp.rb                       :_: "Portable library for importing many well-known 3D model formats"

astyle.rb                       :_: "Source code beautifier for C, C++, C#, and Java"

at-spi2-atk.rb                  :_: "Accessibility Toolkit GTK+ module"

at-spi2-core.rb                 :_: "Protocol definitions and daemon for D-Bus at-spi"

atdtool.rb                      :_: "Command-line interface for After the Deadline language checker"

aterm.rb                        :_: "AfterStep terminal emulator"

atf.rb                          :_: "ATF: Automated Testing Framework"

atk.rb                          :_: "GNOME accessibility toolkit"

atkmm.rb                        :_: "Official C++ interface for the ATK accessibility toolkit library"

atlassian-cli.rb                :_: "Command-line interface clients for Atlassian products"

atomicparsley.rb                :_: "MPEG-4 command-line tool"

atool.rb                        :_: "Archival front-end"

ats2-postiats.rb                :_: "ATS programming language implementation"

aubio.rb                        :_: "Extract annotations from audio signals"

audiofile.rb                    :_: "Reads and writes many common audio file formats"

augeas.rb                       :_: "Configuration editing tool and API"

aurora-cli.rb                   :_: "Apache Aurora Scheduler Client"

auto-scaling.rb                 :_: "Client interface to the Amazon Auto Scaling web service"

autobench.rb                    :_: "Automatic webserver benchmark tool"

autocode.rb                     :_: "Code automation for every language, library and framework"

autoconf-archive.rb             :_: "Collection of over 500 reusable autoconf macros"

autoconf.rb                     :_: "Automatic configure script builder"

autoenv.rb                      :_: "Per-project, per-directory shell environments"

autogen.rb                      :_: "Automated text file generator"

autojump.rb                     :_: "Shell extension to jump to frequently used directories"

automake.rb                     :_: "Tool for generating GNU Standards-compliant Makefiles"

automysqlbackup.rb              :_: "Automate MySQL backups"

autopano-sift-c.rb              :_: "Find control points in overlapping image pairs"

autopsy.rb                      :_: "Graphical interface to Sleuth Kit investigation tools"

autossh.rb                      :_: "Automatically restart SSH sessions and tunnels"

autotrace.rb                    :_: "Convert bitmap to vector graphics"

avce00.rb                       :_: "Make Arc/Info (binary) Vector Coverages appear as E00"

avian.rb                        :_: "Lightweight VM and class library for a subset of Java features"

aview.rb                        :_: "ASCII-art image browser and animation viewer"

avra.rb                         :_: "Assember for the Atmel AVR microcontroller family"

avrdude.rb                      :_: "Atmel AVR MCU programmer"

avro-c.rb                       :_: "Data serialization system"

avro-cpp.rb                     :_: "Data serialization system"

avro-tools.rb                   :_: "Avro command-line tools and utilities"

awf.rb                          :_: "'A Widget Factory' is a theme preview application for gtk2 and gtk3"

aws-apigateway-importer.rb      :_: "AWS API Gateway Importer"

aws-cfn-tools.rb                :_: "Client for Amazon CloudFormation web service"

aws-cloudsearch.rb              :_: "Client for Amazon CloudSearch web service"

aws-elasticache.rb              :_: "Client for Amazon ElastiCache web service"

aws-elasticbeanstalk.rb         :_: "Client for Amazon Elastic Beanstalk web service"

aws-keychain.rb                 :_: "Uses macOS keychain for storage of AWS credentials."

aws-sdk-cpp.rb                  :_: "AWS SDK for C++"

